ind	id	d_omega	d_visual	rounds	evaluations	failed evals	duration	inf. n	inf. t0	inf. t1	inf. t2	inf. t3	inf. t4	inf. t5	inf. t6	inf. M0	inf. M1	inf. M2	inf. M3	inf. M4	inf. M5	inf. M6	inf. s0	inf. s1	inf. s2	inf. s3	inf. s4	inf. s5	inf. s6	inf. N_ref	source filename
c07YN_dA_w050_SQ_Akwaya-Jean	1	411092	158611	50	11392082	0	761.457	11	0	563.63	8269.6	17430.2	41358.6	90747.9	127008	7.07111	0.986063	2.90133	0.718327	44.8822	1.07495	0.212191	1	1	1	1	1	1	1	1098.89	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	2	432049	152357	50	11395218	0	1524.1	11	0	1792.35	8470.67	17314.5	37797.8	106921	137747	3.62858	1.23396	9.00759	0.875922	22.2693	0.544606	0.230631	1	1	1	1	1	1	1	1251.45	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	3	430699	166992	50	11377090	0	2286.72	13	0	763.814	8195.63	17431.4	37821.6	90879.8	136963	4.50031	0.993746	3.49161	0.813256	35.0562	1.04075	0.205988	1	1	1	1	1	1	1	941.489	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	4	419802	161025	50	11414738	0	3049.28	12	0	527.243	8405.68	17281.5	37822.4	90846.4	127556	6.02784	0.921067	4.4555	0.758428	47.686	0.824522	0.217938	1	1	1	1	1	1	1	1021.18	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	5	407861	158619	50	11399602	0	3812.05	12	0	400	8357.68	17347.2	41349.5	97405.9	137139	8.30531	0.908838	3.59721	0.71888	33.49	0.713625	0.203673	1	1	1	1	1	1	1	1004.48	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	6	426961	172099	50	11394466	0	4575.87	11	0	457.169	8393.9	17233.8	41308.3	93130.8	116571	8.10434	0.92314	3.53878	0.65543	18.3813	0.951288	0.204971	1	1	1	1	1	1	1	1067.71	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	7	425018	169277	50	11384258	0	5339.02	9	0	605.337	9398.53	16931.7	37813.4	90569.8	135598	8.97596	0.901492	3.86492	0.641171	30.5609	0.950291	0.185993	1	1	1	1	1	1	1	1312.74	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	8	413358	165934	50	11384882	0	6102.03	10	0	612.804	8270.75	17227.8	41290.2	92100.8	136101	7.49442	0.796835	3.22796	0.65343	17.0917	0.949976	0.189153	1	1	1	1	1	1	1	1182.12	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	9	416232	152902	50	11383506	0	6865.58	11	0	788.333	9443.42	17238.9	41348.9	106652	137961	6.1492	1.03829	4.42973	0.708395	39.0242	0.45561	0.201216	1	1	1	1	1	1	1	1116.48	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Akwaya-Jean	10	428445	174058	50	11367394	0	7628.22	8	0	942.286	8203.27	17071.2	37782.8	94929.3	134819	7.23662	0.808178	2.9076	0.622013	12.5374	1.00324	0.182192	1	1	1	1	1	1	1	1469.93	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Akwaya_Jean.psmc
c07YN_dA_w050_SQ_Damian	1	419667	136229	50	11423922	0	777.265	11	0	654.91	9546.8	17238.7	37755.1	106595	137237	6.49133	1.15594	15.5763	1.03719	45.6651	0.59964	0.26029	1	1	1	1	1	1	1	1306.88	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_ellioti-Damian.psmc
