ind	id	d_omega	d_visual	rounds	evaluations	failed evals	duration	inf. n	inf. t0	inf. t1	inf. t2	inf. t3	inf. t4	inf. t5	inf. t6	inf. M0	inf. M1	inf. M2	inf. M3	inf. M4	inf. M5	inf. M6	inf. s0	inf. s1	inf. s2	inf. s3	inf. s4	inf. s5	inf. s6	inf. N_ref	source filename
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	1	618662	190443	50	11411698	0	789.531	14	0	4765.38	28761.7	38107	104205	145100	391656	48.5084	0.277461	0.604468	10.2437	0.640705	0.182791	0.284183	1	1	1	1	1	1	1	848.635	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	2	657271	206864	50	11419570	0	1580.79	19	0	5360.21	28836.1	38088.6	114190	150756	395252	43.9491	0.317617	0.699607	8.2738	0.561582	0.219867	0.33763	1	1	1	1	1	1	1	680.484	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	3	669453	252007	50	11387874	0	2371.81	17	0	5164.56	31530.4	45462.8	83313.9	134173	323774	46.7385	0.282385	1.30055	23.2273	2.68116	0.182805	0.220989	1	1	1	1	1	1	1	699.935	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	4	617627	199668	50	11432914	0	3165.38	15	0	4850.56	31455.5	45388.8	99173.6	134767	398059	48.9338	0.240711	0.959751	7.58404	0.741646	0.167146	0.251437	1	1	1	1	1	1	1	704.543	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	5	657974	225249	50	11413266	0	3956.34	17	0	5092.84	31509.6	45485.6	86558.9	134266	398937	46.1892	0.279704	1.21658	39.4865	2.01321	0.191431	0.305834	1	1	1	1	1	1	1	693.814	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	6	637525	229745	50	11409762	0	4746.84	13	0	4700.96	31384.1	45335.7	103844	145301	397581	41.5453	0.239585	0.956836	6.53838	0.490894	0.15723	0.287394	1	1	1	1	1	1	1	818.532	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	7	636639	220612	50	11412834	0	5538.41	23	0	5950.95	28884	38151.1	105170	138837	396003	41.3549	0.320336	0.703673	30.8721	0.546746	0.216544	0.293378	1	1	1	1	1	1	1	560.681	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	8	610701	197243	50	11415778	0	6329.39	15	0	4973.56	31464.4	45385.5	97051.6	134895	395570	25.6031	0.235216	0.936133	6.89844	0.646719	0.163562	0.24487	1	1	1	1	1	1	1	691.591	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	9	661192	204839	50	11418130	0	7122.59	16	0	4937.49	31489.1	43675.7	104695	145910	316870	44.3519	0.286054	1.27854	30.1032	0.469447	0.184851	0.258639	1	1	1	1	1	1	1	753.425	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
c07YN_dA_w050_SQ_c7eb2_A910_Bwambale	10	644207	232212	50	11405826	0	7914.27	17	0	5086.88	31527.7	45485.7	101276	145080	310288	30.1191	0.288076	1.32181	43.4911	1.02557	0.186079	0.225297	1	1	1	1	1	1	1	710.415	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A910_Bwambale.psmc
